,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
1544816,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-02-15,2.0,4.0,9.0,0.0,-3.0,0.0
1544817,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-02-16,3.0,5.0,5.0,4.0,-1.0,0.0
1544818,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-02-17,1.0,6.0,11.0,-3.0,-8.0,1.0
1544819,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-02-18,0.0,5.0,13.0,-3.0,-7.0,1.0
1544820,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-02-19,0.0,8.0,11.0,-3.0,-7.0,1.0
1544821,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-02-20,-1.0,5.0,11.0,-3.0,-7.0,1.0
1544822,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-02-21,-3.0,5.0,10.0,-6.0,-7.0,2.0
1544823,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-02-22,0.0,5.0,9.0,-1.0,-2.0,0.0
1544824,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-02-23,-1.0,4.0,-3.0,1.0,-2.0,1.0
1544825,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-02-24,-1.0,3.0,-4.0,-3.0,-2.0,2.0
1544826,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-02-25,-1.0,3.0,1.0,-1.0,-1.0,1.0
1544827,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-02-26,-3.0,3.0,-3.0,-1.0,0.0,2.0
1544828,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-02-27,-1.0,3.0,-4.0,0.0,1.0,2.0
1544829,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-02-28,6.0,9.0,-2.0,0.0,2.0,1.0
1544830,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-02-29,13.0,12.0,-8.0,5.0,0.0,0.0
1544831,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-03-01,11.0,15.0,-15.0,7.0,1.0,2.0
1544832,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-03-02,5.0,9.0,-15.0,2.0,11.0,0.0
1544833,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-03-03,4.0,10.0,-14.0,3.0,12.0,0.0
1544834,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-03-04,1.0,9.0,-16.0,5.0,14.0,0.0
1544835,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-03-05,-1.0,4.0,-15.0,5.0,15.0,0.0
1544836,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-03-06,1.0,5.0,-12.0,4.0,16.0,0.0
1544837,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-03-07,7.0,7.0,-20.0,2.0,3.0,3.0
1544838,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-03-08,5.0,7.0,-8.0,12.0,-1.0,5.0
1544839,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-03-09,-3.0,2.0,-13.0,5.0,16.0,0.0
1544840,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-03-10,-3.0,1.0,-17.0,7.0,17.0,-2.0
1544841,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-03-11,-8.0,0.0,-19.0,6.0,16.0,0.0
1544842,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-03-12,-7.0,-1.0,-21.0,5.0,17.0,-1.0
1544843,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-03-13,-3.0,5.0,-17.0,3.0,17.0,-1.0
1544844,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-03-14,1.0,9.0,-21.0,-1.0,4.0,3.0
1544845,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-03-15,-10.0,17.0,-29.0,-6.0,-1.0,6.0
1544846,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-03-16,-20.0,16.0,-34.0,-18.0,2.0,7.0
1544847,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-03-17,-31.0,1.0,-39.0,-27.0,-11.0,11.0
1544848,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-03-18,-38.0,2.0,-45.0,-32.0,-18.0,14.0
1544849,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-03-19,-51.0,-17.0,-50.0,-41.0,-27.0,19.0
1544850,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-03-20,-54.0,-21.0,-54.0,-47.0,-31.0,23.0
1544851,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-03-21,-63.0,-31.0,-66.0,-51.0,-32.0,22.0
1544852,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-03-22,-72.0,-45.0,-72.0,-58.0,-38.0,22.0
1544853,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-03-23,-62.0,-38.0,-61.0,-56.0,-41.0,24.0
1544854,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-03-24,-64.0,-38.0,-61.0,-57.0,-44.0,25.0
1544855,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-03-25,-64.0,-36.0,-61.0,-57.0,-44.0,26.0
1544856,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-03-26,-61.0,-32.0,-59.0,-54.0,-44.0,25.0
1544857,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-03-27,-67.0,-41.0,-64.0,-65.0,-50.0,31.0
1544858,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-03-28,-68.0,-41.0,-69.0,-61.0,-43.0,25.0
1544859,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-03-29,-73.0,-55.0,-72.0,-64.0,-42.0,24.0
1544860,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-03-30,-63.0,-39.0,-60.0,-63.0,-50.0,26.0
1544861,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-03-31,-61.0,-34.0,-57.0,-59.0,-50.0,25.0
1544862,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-04-01,-62.0,-32.0,-59.0,-59.0,-51.0,26.0
1544863,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-04-02,-64.0,-36.0,-60.0,-61.0,-51.0,27.0
1544864,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-04-03,-63.0,-36.0,-61.0,-61.0,-50.0,29.0
1544865,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-04-04,-65.0,-38.0,-67.0,-57.0,-42.0,23.0
1544866,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-04-05,-69.0,-49.0,-70.0,-59.0,-42.0,20.0
1544867,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-04-06,-61.0,-37.0,-60.0,-61.0,-49.0,24.0
